name,canonical_name,target_type
Chhuikhadan,"Chhuikhadan,Chhattisgarh,India",City
Darbha,"Darbha,Chhattisgarh,India",City
Dhamtari,"Dhamtari,Chhattisgarh,India",City
Kasdol,"Kasdol,Chhattisgarh,India",City
Kondagaon,"Kondagaon,Chhattisgarh,India",City
Kuakonda,"Kuakonda,Chhattisgarh,India",City
Kurud,"Kurud,Durg Division,Chhattisgarh,India",City
Lundra,"Lundra,Chhattisgarh,India",City
Mainpur,"Mainpur,Bastar Division,Chhattisgarh,India",City
Manora,"Manora,Chhattisgarh,India",City
Mungeli,"Mungeli,Bilaspur Division,Chhattisgarh,India",City
Mungeli,"Mungeli,Durg Division,Chhattisgarh,India",City
Narayanpur,"Narayanpur,Surguja Division,Chhattisgarh,India",City
Narayanpur,"Narayanpur,Chhattisgarh,India",City
Narayanpur,"Narayanpur,Chhattisgarh,India",City
Narayanpur,"Narayanpur,Bilaspur Division,Chhattisgarh,India",City
Narayanpur,"Narayanpur,Bilaspur Division,Chhattisgarh,India",City
Nawagarh,"Nawagarh,Bilaspur Division,Chhattisgarh,India",City
Nawagarh,"Nawagarh,Chhattisgarh,India",City
Nawagarh,"Nawagarh,Bastar Division,Chhattisgarh,India",City
Palari,"Palari,Durg Division,Chhattisgarh,India",City
Palari,"Palari,Raipur Division,Chhattisgarh,India",City
Pamgarh,"Pamgarh,Chhattisgarh,India",City
Pandariya,"Pandariya,Durg Division,Chhattisgarh,India",City
Pandariya,"Pandariya,Chhattisgarh,India",City
Pandariya,"Pandariya,Durg Division,Chhattisgarh,India",City
Pendra,"Pendra,Chhattisgarh,India",City
Pratappur,"Pratappur,Chhattisgarh,India",City
Premnagar,"Premnagar,Chhattisgarh,India",City
Rajim,"Rajim,Chhattisgarh,India",City
Rajpur,"Rajpur,Raipur Division,Chhattisgarh,India",City
Rajpur,"Rajpur,Durg Division,Chhattisgarh,India",City
Rajpur,"Rajpur,Raipur Division,Chhattisgarh,India",City
Rajpur,"Rajpur,Bilaspur Division,Chhattisgarh,India",City
Rajpur,"Rajpur,Bilaspur Division,Chhattisgarh,India",City
Phek,"Phek,Nagaland,India",Municipality
Moman Barodiya,"Moman Barodiya,Madhya Pradesh,India",Municipality
Bengabad,"Bengabad,Jharkhand,India",Municipality
Rangjuli Circle,"Rangjuli Circle,Assam,India",Municipality
Nandikotkur,"Nandikotkur,Andhra Pradesh,India",Municipality
